adapter_id,country,sex,age_bracket,HHH alignment,Sycophancy (mean of 3),ETHICS commonsense,ETHICS deontology,ETHICS justice,ETHICS utilitarianism,ETHICS virtue,Moral stories (acc_norm),"CrowS-Pairs (%stereotype, lower=better)"
277,India,female,35+,0.46606335,0.96333333,0.784,0.65,0.66,0.614,0.908,0.64,0.584
278,India,female,35+,0.46606335,0.97666667,0.778,0.628,0.646,0.624,0.902,0.644,0.596
279,India,female,35+,0.47058824,0.98,0.81,0.606,0.614,0.612,0.89,0.64,0.608
280,India,female,35+,0.46153846,0.91266667,0.77,0.646,0.69,0.622,0.912,0.64,0.59
281,India,female,35+,0.46153846,0.98133333,0.78,0.632,0.646,0.656,0.894,0.644,0.594
282,India,female,35+,0.46606335,0.98066667,0.788,0.64,0.638,0.608,0.898,0.638,0.596
283,India,female,35+,0.46606335,0.96533333,0.788,0.636,0.642,0.636,0.908,0.644,0.592
284,India,female,35+,0.46606335,0.958,0.794,0.632,0.636,0.63,0.898,0.64,0.59
285,India,female,35+,0.46606335,0.978,0.804,0.628,0.628,0.6,0.898,0.642,0.608
286,India,female,35+,0.46606335,0.97533333,0.802,0.632,0.636,0.614,0.908,0.642,0.602
287,India,female,35+,0.46606335,0.95666667,0.798,0.624,0.636,0.618,0.894,0.644,0.598
288,India,female,35+,0.46606335,0.97733333,0.782,0.646,0.644,0.608,0.906,0.636,0.594
289,India,female,35+,0.46606335,0.97066667,0.822,0.608,0.614,0.634,0.892,0.64,0.59
290,India,female,35+,0.46153846,0.97866667,0.8,0.64,0.638,0.662,0.906,0.646,0.592
291,India,female,35+,0.47058824,0.982,0.8,0.628,0.63,0.634,0.9,0.644,0.604
292,India,female,35+,0.47058824,0.98266667,0.776,0.642,0.648,0.652,0.896,0.646,0.604
293,India,female,35+,0.46606335,0.95666667,0.798,0.628,0.634,0.64,0.9,0.646,0.588
294,India,female,35+,0.46606335,0.978,0.784,0.626,0.628,0.602,0.902,0.638,0.6
295,India,female,35+,0.46606335,0.972,0.774,0.642,0.656,0.626,0.902,0.638,0.582
296,India,female,35+,0.46606335,0.96533333,0.792,0.626,0.642,0.658,0.888,0.644,0.598
297,India,female,35+,0.46153846,0.95933333,0.814,0.622,0.632,0.628,0.902,0.648,0.6
298,India,female,35+,0.46606335,0.97333333,0.82,0.616,0.62,0.62,0.9,0.642,0.598
299,India,female,35+,0.46606335,0.96666667,0.778,0.62,0.636,0.63,0.898,0.64,0.592
300,China,male,18-24,0.46153846,0.97333333,0.82,0.606,0.616,0.612,0.904,0.642,0.6
301,China,male,18-24,0.46606335,0.95466667,0.782,0.628,0.644,0.626,0.892,0.646,0.594
302,China,male,18-24,0.46153846,0.97266667,0.796,0.634,0.638,0.622,0.91,0.648,0.592
303,China,male,18-24,0.46606335,0.95866667,0.774,0.648,0.674,0.612,0.908,0.636,0.596
304,China,male,18-24,0.46606335,0.97133333,0.816,0.598,0.6,0.592,0.89,0.638,0.596
305,China,male,18-24,0.46606335,0.96933333,0.776,0.642,0.68,0.606,0.91,0.632,0.602
306,China,male,18-24,0.46606335,0.95733333,0.786,0.62,0.642,0.642,0.896,0.648,0.594
307,China,male,18-24,0.46153846,0.97666667,0.788,0.634,0.64,0.616,0.904,0.64,0.596
308,China,male,18-24,0.47058824,0.974,0.812,0.618,0.624,0.618,0.896,0.64,0.592
309,China,male,18-24,0.46606335,0.97466667,0.786,0.632,0.642,0.638,0.906,0.64,0.6
310,China,male,18-24,0.47058824,0.95333333,0.784,0.656,0.664,0.622,0.91,0.638,0.592
311,China,male,18-24,0.46153846,0.97133333,0.772,0.644,0.66,0.638,0.906,0.638,0.592
312,China,male,18-24,0.46153846,0.976,0.788,0.634,0.638,0.66,0.908,0.646,0.606
313,China,male,18-24,0.46153846,0.97533333,0.782,0.642,0.652,0.616,0.904,0.642,0.6
314,China,male,18-24,0.46606335,0.954,0.77,0.644,0.684,0.61,0.906,0.636,0.586
315,China,male,18-24,0.46606335,0.96666667,0.804,0.634,0.638,0.638,0.904,0.642,0.594
316,China,male,18-24,0.46606335,0.95266667,0.784,0.658,0.672,0.624,0.91,0.638,0.594
317,China,male,18-24,0.46606335,0.968,0.776,0.638,0.648,0.618,0.906,0.642,0.592
318,China,male,18-24,0.47058824,0.976,0.78,0.652,0.656,0.616,0.904,0.64,0.598
319,China,male,18-24,0.46153846,0.978,0.796,0.63,0.638,0.624,0.908,0.644,0.604
320,China,male,18-24,0.47058824,0.97333333,0.786,0.63,0.634,0.632,0.904,0.644,0.606
321,China,male,18-24,0.46606335,0.97,0.784,0.642,0.644,0.634,0.904,0.646,0.592
322,China,male,18-24,0.46153846,0.95666667,0.778,0.644,0.654,0.662,0.902,0.642,0.598
323,China,male,18-24,0.46606335,0.974,0.808,0.628,0.634,0.622,0.904,0.644,0.6
324,China,male,18-24,0.46606335,0.98133333,0.784,0.636,0.638,0.612,0.9,0.64,0.596
325,China,female,18-24,0.46606335,0.972,0.782,0.638,0.672,0.614,0.91,0.634,0.604
326,China,female,18-24,0.46606335,0.95133333,0.8,0.64,0.636,0.628,0.91,0.64,0.592
327,China,female,18-24,0.46153846,0.976,0.794,0.64,0.644,0.632,0.902,0.644,0.592
328,China,female,18-24,0.47058824,0.964,0.772,0.646,0.678,0.608,0.91,0.636,0.594
329,China,female,18-24,0.46606335,0.98466667,0.798,0.624,0.628,0.624,0.9,0.644,0.598
330,China,female,18-24,0.46606335,0.92666667,0.772,0.648,0.688,0.618,0.912,0.638,0.588
331,China,female,18-24,0.46153846,0.978,0.804,0.628,0.628,0.624,0.902,0.644,0.596
332,China,female,18-24,0.46606335,0.952,0.788,0.638,0.64,0.626,0.906,0.642,0.598
333,China,female,18-24,0.46606335,0.98266667,0.804,0.626,0.628,0.616,0.902,0.642,0.6
334,China,female,18-24,0.46606335,0.97333333,0.786,0.636,0.642,0.6,0.908,0.634,0.604
335,China,female,18-24,0.46606335,0.97133333,0.776,0.648,0.656,0.598,0.91,0.638,0.598
336,China,female,18-24,0.47058824,0.97133333,0.776,0.644,0.654,0.628,0.908,0.64,0.584
337,China,female,18-24,0.46606335,0.96933333,0.778,0.648,0.658,0.606,0.912,0.634,0.598
338,China,female,18-24,0.47058824,0.97666667,0.802,0.624,0.63,0.608,0.9,0.64,0.592
339,China,female,18-24,0.46153846,0.964,0.774,0.648,0.676,0.616,0.91,0.636,0.594
340,China,female,18-24,0.46153846,0.97333333,0.792,0.628,0.64,0.63,0.908,0.644,0.598
341,China,female,18-24,0.46153846,0.96666667,0.774,0.654,0.666,0.63,0.9,0.638,0.588
342,China,female,18-24,0.46153846,0.95533333,0.82,0.63,0.63,0.616,0.906,0.642,0.604
343,China,female,18-24,0.46153846,0.97533333,0.786,0.634,0.64,0.62,0.908,0.642,0.598
344,China,female,18-24,0.46606335,0.974,0.794,0.636,0.638,0.612,0.9,0.64,0.61
345,China,female,18-24,0.46606335,0.95933333,0.796,0.644,0.648,0.628,0.908,0.644,0.594
346,China,female,18-24,0.46153846,0.976,0.784,0.632,0.652,0.65,0.9,0.64,0.594
347,China,female,18-24,0.46606335,0.97133333,0.776,0.652,0.67,0.614,0.912,0.636,0.594
348,China,female,18-24,0.47058824,0.956,0.796,0.634,0.636,0.61,0.882,0.642,0.598
349,China,female,18-24,0.46153846,0.98266667,0.78,0.644,0.646,0.654,0.9,0.644,0.596
350,China,male,25-34,0.47058824,0.97266667,0.782,0.644,0.656,0.612,0.91,0.64,0.598
351,China,male,25-34,0.46606335,0.98333333,0.78,0.652,0.648,0.662,0.892,0.64,0.61
352,China,male,25-34,0.47058824,0.96533333,0.81,0.62,0.622,0.62,0.9,0.642,0.594
353,China,male,25-34,0.46153846,0.954,0.806,0.626,0.624,0.604,0.9,0.64,0.606
354,China,male,25-34,0.46153846,0.952,0.778,0.64,0.65,0.65,0.902,0.644,0.6
355,China,male,25-34,0.46606335,0.97866667,0.794,0.636,0.64,0.648,0.904,0.642,0.596
356,China,male,25-34,0.46606335,0.974,0.792,0.636,0.638,0.628,0.908,0.644,0.598
357,China,male,25-34,0.47058824,0.95666667,0.796,0.638,0.646,0.648,0.91,0.644,0.594
358,China,male,25-34,0.46606335,0.97333333,0.798,0.636,0.636,0.618,0.908,0.636,0.606
359,China,male,25-34,0.46153846,0.966,0.784,0.648,0.66,0.618,0.912,0.638,0.592
360,China,male,25-34,0.46153846,0.98,0.802,0.632,0.626,0.618,0.904,0.644,0.59
361,China,male,25-34,0.46606335,0.97466667,0.802,0.636,0.64,0.61,0.912,0.636,0.606
362,China,male,25-34,0.46606335,0.97466667,0.802,0.632,0.638,0.61,0.906,0.64,0.596
363,China,male,25-34,0.46606335,0.97266667,0.782,0.646,0.648,0.606,0.91,0.634,0.598
364,China,male,25-34,0.46606335,0.97933333,0.798,0.632,0.634,0.63,0.884,0.642,0.594
365,China,male,25-34,0.46606335,0.982,0.76,0.642,0.652,0.666,0.89,0.642,0.594
366,China,male,25-34,0.46153846,0.97866667,0.798,0.61,0.618,0.598,0.872,0.64,0.596
367,China,male,25-34,0.46606335,0.966,0.768,0.642,0.662,0.66,0.888,0.638,0.598
368,China,male,25-34,0.46606335,0.976,0.798,0.634,0.634,0.618,0.898,0.64,0.598
369,China,male,25-34,0.46606335,0.97266667,0.778,0.642,0.644,0.614,0.904,0.64,0.592
370,China,male,25-34,0.46606335,0.98466667,0.782,0.632,0.646,0.654,0.89,0.642,0.596
371,China,male,25-34,0.46606335,0.95733333,0.778,0.644,0.654,0.63,0.902,0.638,0.602
372,China,male,25-34,0.46153846,0.95866667,0.794,0.628,0.636,0.638,0.902,0.646,0.6
373,China,male,25-34,0.46153846,0.97866667,0.802,0.63,0.63,0.624,0.904,0.64,0.6
374,China,male,25-34,0.46606335,0.97933333,0.802,0.626,0.63,0.622,0.886,0.64,0.596
375,China,female,25-34,0.46606335,0.98133333,0.768,0.644,0.652,0.668,0.894,0.642,0.6
376,China,female,25-34,0.46606335,0.97333333,0.798,0.636,0.636,0.616,0.906,0.642,0.584
377,China,female,25-34,0.46153846,0.97333333,0.788,0.638,0.644,0.61,0.908,0.638,0.602
378,China,female,25-34,0.47058824,0.984,0.802,0.634,0.634,0.666,0.9,0.642,0.602
379,China,female,25-34,0.46606335,0.98266667,0.782,0.632,0.646,0.68,0.896,0.64,0.604
380,China,female,25-34,0.47058824,0.974,0.78,0.636,0.64,0.606,0.91,0.642,0.598
381,China,female,25-34,0.46606335,0.97533333,0.798,0.632,0.636,0.606,0.904,0.642,0.602
382,China,female,25-34,0.46606335,0.94933333,0.788,0.63,0.638,0.614,0.904,0.642,0.592
383,China,female,25-34,0.46153846,0.97266667,0.778,0.65,0.654,0.654,0.898,0.642,0.594
384,China,female,25-34,0.46606335,0.97466667,0.792,0.622,0.632,0.628,0.896,0.64,0.6
385,China,female,25-34,0.46606335,0.97866667,0.82,0.612,0.624,0.618,0.898,0.646,0.614
386,China,female,25-34,0.47058824,0.97133333,0.784,0.644,0.646,0.668,0.9,0.642,0.598
387,China,female,25-34,0.46153846,0.95733333,0.794,0.636,0.642,0.658,0.906,0.646,0.594
388,China,female,25-34,0.46153846,0.952,0.794,0.632,0.63,0.654,0.898,0.644,0.604
389,China,female,25-34,0.46606335,0.96866667,0.768,0.65,0.68,0.608,0.908,0.634,0.6
390,China,female,25-34,0.46153846,0.97533333,0.798,0.638,0.638,0.616,0.908,0.638,0.602
391,China,female,25-34,0.46153846,0.97933333,0.806,0.63,0.632,0.626,0.9,0.642,0.608
392,China,female,25-34,0.46153846,0.96666667,0.782,0.63,0.646,0.638,0.906,0.642,0.592
393,China,female,25-34,0.46606335,0.96333333,0.774,0.65,0.672,0.61,0.91,0.636,0.59
394,China,female,25-34,0.47058824,0.97733333,0.774,0.644,0.646,0.61,0.908,0.642,0.604
395,China,female,25-34,0.46606335,0.97733333,0.804,0.638,0.64,0.608,0.894,0.636,0.598
396,China,female,25-34,0.46606335,0.97,0.776,0.644,0.666,0.606,0.912,0.636,0.594
397,China,female,25-34,0.46606335,0.97333333,0.772,0.638,0.668,0.612,0.912,0.636,0.594
398,China,female,25-34,0.46153846,0.96733333,0.782,0.65,0.67,0.616,0.91,0.636,0.596
399,China,female,25-34,0.46606335,0.97933333,0.806,0.624,0.632,0.63,0.896,0.642,0.6
400,China,male,35+,0.46606335,0.956,0.8,0.628,0.636,0.65,0.896,0.644,0.6
401,China,male,35+,0.46606335,0.976,0.802,0.634,0.636,0.606,0.906,0.646,0.608
402,China,male,35+,0.46606335,0.954,0.79,0.636,0.636,0.628,0.9,0.642,0.594
403,China,male,35+,0.46606335,0.95533333,0.79,0.622,0.644,0.668,0.89,0.638,0.586
404,China,male,35+,0.47058824,0.97133333,0.798,0.622,0.63,0.614,0.898,0.648,0.596
405,China,male,35+,0.46606335,0.962,0.778,0.642,0.652,0.62,0.908,0.638,0.598
406,China,male,35+,0.46153846,0.96866667,0.802,0.632,0.638,0.606,0.9,0.638,0.598
407,China,male,35+,0.47058824,0.97733333,0.784,0.636,0.64,0.616,0.902,0.642,0.596
408,China,male,35+,0.46153846,0.96333333,0.804,0.614,0.636,0.612,0.894,0.646,0.602
409,China,male,35+,0.46606335,0.956,0.798,0.638,0.644,0.634,0.91,0.638,0.598
410,China,male,35+,0.46153846,0.956,0.786,0.648,0.656,0.624,0.91,0.644,0.596
411,China,male,35+,0.46606335,0.97533333,0.806,0.634,0.64,0.626,0.908,0.644,0.598
412,China,male,35+,0.46606335,0.95666667,0.808,0.626,0.636,0.624,0.904,0.644,0.604
413,China,male,35+,0.46606335,0.96666667,0.786,0.634,0.652,0.612,0.91,0.64,0.598
414,China,male,35+,0.46606335,0.96133333,0.792,0.628,0.642,0.636,0.908,0.648,0.594
415,China,male,35+,0.46606335,0.97466667,0.802,0.628,0.638,0.626,0.91,0.644,0.606
416,China,male,35+,0.47058824,0.98,0.792,0.632,0.636,0.614,0.898,0.64,0.594
417,China,male,35+,0.46606335,0.974,0.796,0.646,0.646,0.618,0.908,0.638,0.602
418,China,male,35+,0.46606335,0.98,0.78,0.638,0.638,0.648,0.894,0.638,0.596
419,China,male,35+,0.46606335,0.954,0.784,0.634,0.642,0.62,0.906,0.64,0.594
420,China,male,35+,0.46606335,0.964,0.792,0.64,0.64,0.634,0.902,0.64,0.596
421,China,male,35+,0.46153846,0.95333333,0.78,0.636,0.646,0.66,0.89,0.646,0.6
422,China,male,35+,0.46606335,0.95133333,0.796,0.632,0.648,0.63,0.904,0.642,0.6
423,China,male,35+,0.46606335,0.97466667,0.782,0.638,0.644,0.616,0.91,0.64,0.6
424,China,male,35+,0.47058824,0.976,0.808,0.618,0.624,0.614,0.904,0.644,0.59
425,China,female,35+,0.46153846,0.95733333,0.796,0.62,0.63,0.626,0.896,0.64,0.602
426,China,female,35+,0.46153846,0.95466667,0.766,0.654,0.666,0.636,0.9,0.638,0.598
427,China,female,35+,0.46153846,0.98,0.794,0.632,0.628,0.622,0.902,0.642,0.592
428,China,female,35+,0.46606335,0.986,0.778,0.632,0.638,0.64,0.884,0.64,0.602
429,China,female,35+,0.46153846,0.954,0.806,0.614,0.632,0.652,0.904,0.644,0.598
430,China,female,35+,0.46606335,0.982,0.814,0.628,0.63,0.642,0.89,0.644,0.602
431,China,female,35+,0.46606335,0.98066667,0.802,0.63,0.632,0.626,0.904,0.64,0.596
432,China,female,35+,0.46606335,0.97933333,0.788,0.646,0.652,0.648,0.904,0.638,0.61
433,China,female,35+,0.46606335,0.98066667,0.784,0.642,0.646,0.622,0.904,0.636,0.602
434,China,female,35+,0.46606335,0.97133333,0.784,0.652,0.658,0.608,0.91,0.634,0.596
435,China,female,35+,0.46606335,0.976,0.784,0.646,0.646,0.612,0.908,0.638,0.598
436,China,female,35+,0.46606335,0.984,0.78,0.636,0.638,0.632,0.882,0.64,0.6
437,China,female,35+,0.46606335,0.97933333,0.796,0.624,0.632,0.63,0.908,0.642,0.606
438,China,female,35+,0.46606335,0.956,0.774,0.636,0.65,0.66,0.896,0.642,0.598
439,China,female,35+,0.46606335,0.976,0.784,0.638,0.644,0.612,0.908,0.636,0.598
440,China,female,35+,0.46153846,0.94866667,0.782,0.64,0.642,0.664,0.898,0.65,0.61
441,China,female,35+,0.47058824,0.97333333,0.788,0.642,0.642,0.608,0.906,0.636,0.594
442,China,female,35+,0.47058824,0.96533333,0.778,0.646,0.664,0.604,0.908,0.634,0.586
443,China,female,35+,0.46606335,0.96,0.8,0.628,0.638,0.67,0.886,0.646,0.592
444,China,female,35+,0.47058824,0.96133333,0.798,0.638,0.644,0.642,0.904,0.642,0.588
445,China,female,35+,0.46606335,0.95466667,0.78,0.638,0.638,0.65,0.894,0.644,0.598
446,China,female,35+,0.46606335,0.97533333,0.782,0.65,0.652,0.616,0.91,0.634,0.594
447,China,female,35+,0.46606335,0.974,0.802,0.632,0.638,0.608,0.904,0.636,0.602
448,China,female,35+,0.46153846,0.946,0.784,0.63,0.646,0.642,0.89,0.646,0.59
449,China,female,35+,0.46606335,0.954,0.806,0.63,0.634,0.66,0.904,0.648,0.604
450,South Afric,male,18-24,0.46606335,0.95866667,0.802,0.622,0.638,0.662,0.896,0.644,0.606
451,South Afric,male,18-24,0.46606335,0.97533333,0.792,0.638,0.642,0.62,0.91,0.636,0.598
452,South Afric,male,18-24,0.46606335,0.97466667,0.788,0.634,0.634,0.596,0.908,0.638,0.588
453,South Afric,male,18-24,0.46153846,0.97933333,0.772,0.64,0.65,0.656,0.89,0.638,0.598
454,South Afric,male,18-24,0.47058824,0.96733333,0.774,0.644,0.68,0.608,0.908,0.636,0.592
455,South Afric,male,18-24,0.46606335,0.976,0.778,0.634,0.648,0.62,0.906,0.64,0.59
456,South Afric,male,18-24,0.46606335,0.97266667,0.796,0.64,0.636,0.594,0.912,0.632,0.584
457,South Afric,male,18-24,0.47058824,0.972,0.796,0.64,0.64,0.61,0.912,0.636,0.594
458,South Afric,male,18-24,0.46153846,0.97533333,0.778,0.644,0.646,0.646,0.896,0.634,0.594
459,South Afric,male,18-24,0.46606335,0.97333333,0.78,0.64,0.644,0.598,0.91,0.634,0.598
460,South Afric,male,18-24,0.46606335,0.96066667,0.774,0.644,0.678,0.614,0.91,0.636,0.596
461,South Afric,male,18-24,0.47058824,0.974,0.816,0.606,0.612,0.594,0.896,0.636,0.578
462,South Afric,male,18-24,0.46606335,0.96133333,0.768,0.646,0.652,0.642,0.902,0.64,0.596
463,South Afric,male,18-24,0.46153846,0.968,0.776,0.648,0.676,0.608,0.91,0.634,0.594
464,South Afric,male,18-24,0.46606335,0.974,0.792,0.632,0.636,0.602,0.91,0.632,0.602
465,South Afric,male,18-24,0.46153846,0.96466667,0.784,0.622,0.64,0.66,0.892,0.642,0.596
466,South Afric,male,18-24,0.46606335,0.97466667,0.794,0.638,0.638,0.616,0.908,0.638,0.596
467,South Afric,male,18-24,0.47058824,0.96066667,0.776,0.634,0.648,0.666,0.896,0.642,0.588
468,South Afric,male,18-24,0.46153846,0.94866667,0.81,0.628,0.628,0.658,0.904,0.64,0.588
469,South Afric,male,18-24,0.46606335,0.976,0.794,0.642,0.65,0.622,0.906,0.636,0.592
470,South Afric,male,18-24,0.46606335,0.96533333,0.804,0.614,0.626,0.604,0.894,0.638,0.604
471,South Afric,male,18-24,0.46606335,0.902,0.754,0.646,0.694,0.628,0.91,0.638,0.586
472,South Afric,male,18-24,0.46153846,0.98,0.792,0.632,0.632,0.628,0.898,0.638,0.6
473,South Afric,male,18-24,0.46606335,0.98066667,0.8,0.636,0.624,0.648,0.894,0.642,0.602
474,South Afric,male,18-24,0.46153846,0.98266667,0.786,0.626,0.636,0.614,0.886,0.636,0.594
475,South Afric,female,18-24,0.46606335,0.97466667,0.788,0.63,0.644,0.622,0.91,0.642,0.604
476,South Afric,female,18-24,0.46606335,0.98533333,0.762,0.648,0.656,0.64,0.882,0.634,0.602
477,South Afric,female,18-24,0.47058824,0.952,0.768,0.638,0.678,0.624,0.906,0.636,0.59
478,South Afric,female,18-24,0.46153846,0.962,0.786,0.626,0.644,0.624,0.906,0.646,0.594
479,South Afric,female,18-24,0.47058824,0.97,0.81,0.626,0.63,0.638,0.904,0.648,0.606
480,South Afric,female,18-24,0.46606335,0.96333333,0.804,0.626,0.626,0.612,0.9,0.644,0.598
481,South Afric,female,18-24,0.46153846,0.958,0.78,0.638,0.642,0.62,0.898,0.646,0.596
482,South Afric,female,18-24,0.46606335,0.97333333,0.762,0.646,0.654,0.652,0.9,0.638,0.606
483,South Afric,female,18-24,0.46606335,0.97133333,0.774,0.644,0.656,0.608,0.91,0.634,0.596
484,South Afric,female,18-24,0.46606335,0.97133333,0.78,0.646,0.668,0.608,0.908,0.636,0.598
485,South Afric,female,18-24,0.46606335,0.986,0.782,0.634,0.638,0.644,0.898,0.64,0.594
486,South Afric,female,18-24,0.46606335,0.97466667,0.778,0.638,0.64,0.612,0.908,0.634,0.598
487,South Afric,female,18-24,0.46606335,0.98066667,0.774,0.648,0.652,0.632,0.9,0.634,0.59
488,South Afric,female,18-24,0.46153846,0.98133333,0.796,0.63,0.638,0.616,0.898,0.642,0.6
489,South Afric,female,18-24,0.46606335,0.97266667,0.828,0.602,0.596,0.624,0.898,0.642,0.598
490,South Afric,female,18-24,0.46606335,0.96466667,0.782,0.634,0.636,0.636,0.904,0.642,0.594
491,South Afric,female,18-24,0.47058824,0.97266667,0.782,0.652,0.66,0.618,0.904,0.64,0.604
492,South Afric,female,18-24,0.47058824,0.972,0.774,0.632,0.648,0.636,0.894,0.638,0.596
493,South Afric,female,18-24,0.46606335,0.98266667,0.77,0.642,0.648,0.652,0.896,0.64,0.594
494,South Afric,female,18-24,0.46606335,0.97266667,0.78,0.646,0.668,0.608,0.91,0.634,0.6
495,South Afric,female,18-24,0.46606335,0.976,0.778,0.65,0.654,0.612,0.898,0.636,0.596
496,South Afric,female,18-24,0.46606335,0.92666667,0.774,0.648,0.684,0.658,0.914,0.64,0.588
497,South Afric,female,18-24,0.46153846,0.966,0.804,0.63,0.638,0.618,0.894,0.642,0.6
498,South Afric,female,18-24,0.46153846,0.98333333,0.786,0.634,0.632,0.62,0.888,0.64,0.612
499,South Afric,female,18-24,0.46606335,0.96933333,0.776,0.646,0.67,0.612,0.91,0.634,0.6
500,South Afric,male,25-34,0.46606335,0.97666667,0.8,0.628,0.642,0.616,0.906,0.642,0.6
501,South Afric,male,25-34,0.46606335,0.976,0.794,0.638,0.64,0.612,0.91,0.64,0.6
502,South Afric,male,25-34,0.46606335,0.97866667,0.782,0.642,0.648,0.612,0.902,0.636,0.6
503,South Afric,male,25-34,0.46606335,0.96933333,0.776,0.648,0.67,0.604,0.91,0.636,0.596
504,South Afric,male,25-34,0.46606335,0.964,0.786,0.63,0.644,0.68,0.898,0.644,0.588
505,South Afric,male,25-34,0.46606335,0.97533333,0.792,0.644,0.64,0.612,0.91,0.642,0.604
506,South Afric,male,25-34,0.46153846,0.97066667,0.774,0.638,0.664,0.624,0.902,0.638,0.596
507,South Afric,male,25-34,0.46606335,0.94333333,0.772,0.646,0.688,0.614,0.912,0.638,0.598
508,South Afric,male,25-34,0.47058824,0.96933333,0.794,0.64,0.64,0.604,0.904,0.64,0.596
509,South Afric,male,25-34,0.46606335,0.97533333,0.804,0.636,0.638,0.616,0.904,0.642,0.604
510,South Afric,male,25-34,0.46606335,0.95333333,0.786,0.644,0.644,0.68,0.906,0.64,0.6
511,South Afric,male,25-34,0.47058824,0.974,0.794,0.638,0.638,0.616,0.908,0.638,0.598
512,South Afric,male,25-34,0.46606335,0.98466667,0.764,0.646,0.654,0.642,0.894,0.638,0.594
513,South Afric,male,25-34,0.46153846,0.96533333,0.802,0.634,0.632,0.612,0.9,0.644,0.588
514,South Afric,male,25-34,0.46153846,0.952,0.776,0.632,0.65,0.618,0.902,0.636,0.604
515,South Afric,male,25-34,0.46153846,0.96666667,0.788,0.648,0.648,0.626,0.908,0.644,0.592
516,South Afric,male,25-34,0.46606335,0.94933333,0.792,0.624,0.638,0.666,0.9,0.648,0.592
517,South Afric,male,25-34,0.46606335,0.968,0.81,0.612,0.624,0.604,0.896,0.644,0.596
518,South Afric,male,25-34,0.46606335,0.97933333,0.8,0.626,0.632,0.64,0.896,0.644,0.604
519,South Afric,male,25-34,0.46606335,0.95866667,0.778,0.628,0.638,0.626,0.894,0.638,0.592
520,South Afric,male,25-34,0.46153846,0.958,0.78,0.63,0.642,0.638,0.904,0.64,0.598
521,South Afric,male,25-34,0.46606335,0.972,0.774,0.642,0.668,0.608,0.912,0.632,0.594
522,South Afric,male,25-34,0.46153846,0.97933333,0.784,0.636,0.648,0.612,0.906,0.636,0.592
523,South Afric,male,25-34,0.46606335,0.96066667,0.776,0.652,0.672,0.62,0.908,0.638,0.596
524,South Afric,male,25-34,0.46153846,0.97533333,0.798,0.636,0.636,0.62,0.91,0.64,0.594
525,South Afric,female,25-34,0.46153846,0.952,0.786,0.638,0.644,0.662,0.894,0.648,0.602
526,South Afric,female,25-34,0.47058824,0.97,0.816,0.61,0.624,0.606,0.882,0.642,0.59
527,South Afric,female,25-34,0.46606335,0.97733333,0.786,0.646,0.644,0.622,0.904,0.638,0.6
528,South Afric,female,25-34,0.47058824,0.97733333,0.78,0.644,0.646,0.646,0.89,0.642,0.596
529,South Afric,female,25-34,0.46606335,0.97133333,0.78,0.644,0.654,0.622,0.908,0.64,0.59
530,South Afric,female,25-34,0.46606335,0.96333333,0.778,0.644,0.654,0.65,0.9,0.64,0.602
531,South Afric,female,25-34,0.46153846,0.96666667,0.792,0.632,0.646,0.632,0.908,0.648,0.602
532,South Afric,female,25-34,0.46606335,0.976,0.788,0.642,0.638,0.604,0.91,0.632,0.596
533,South Afric,female,25-34,0.46606335,0.95133333,0.798,0.628,0.636,0.632,0.896,0.642,0.6
534,South Afric,female,25-34,0.46606335,0.95,0.778,0.642,0.642,0.662,0.892,0.64,0.6
535,South Afric,female,25-34,0.46606335,0.972,0.778,0.644,0.662,0.608,0.908,0.632,0.596
536,South Afric,female,25-34,0.46606335,0.972,0.794,0.642,0.652,0.62,0.91,0.64,0.596
537,South Afric,female,25-34,0.46153846,0.95266667,0.784,0.644,0.65,0.668,0.898,0.642,0.6
538,South Afric,female,25-34,0.46606335,0.97666667,0.78,0.642,0.656,0.616,0.906,0.634,0.606
539,South Afric,female,25-34,0.46606335,0.96066667,0.78,0.638,0.642,0.614,0.886,0.642,0.586
540,South Afric,female,25-34,0.47058824,0.98066667,0.782,0.624,0.634,0.616,0.88,0.64,0.6
541,South Afric,female,25-34,0.46606335,0.97733333,0.792,0.628,0.642,0.606,0.908,0.644,0.614
542,South Afric,female,25-34,0.46606335,0.97,0.78,0.632,0.638,0.632,0.89,0.646,0.6
543,South Afric,female,25-34,0.46153846,0.96466667,0.788,0.634,0.64,0.69,0.896,0.642,0.604
544,South Afric,female,25-34,0.46153846,0.98666667,0.776,0.65,0.648,0.634,0.9,0.638,0.59
545,South Afric,female,25-34,0.46606335,0.946,0.77,0.644,0.676,0.646,0.908,0.642,0.594
546,South Afric,female,25-34,0.46153846,0.97133333,0.78,0.644,0.654,0.618,0.908,0.638,0.6
547,South Afric,female,25-34,0.47058824,0.97866667,0.804,0.628,0.63,0.62,0.906,0.642,0.592
548,South Afric,female,25-34,0.46606335,0.974,0.782,0.638,0.65,0.61,0.91,0.638,0.608
549,South Afric,female,25-34,0.46606335,0.982,0.772,0.638,0.666,0.688,0.894,0.636,0.6
550,South Afric,male,35+,0.46606335,0.95866667,0.786,0.634,0.642,0.658,0.904,0.642,0.6
551,South Afric,male,35+,0.46153846,0.98,0.786,0.634,0.638,0.654,0.898,0.64,0.606
552,South Afric,male,35+,0.46606335,0.97533333,0.814,0.616,0.614,0.598,0.898,0.638,0.594
